"Estudo
","Pais_Estudo
","Sistema_Producao
","Status_Metabolico
","Sexo_Animal
","Peso_Corporal_kg
","Consumo_MS_kg
","Fracao_Perda_A
","Fracao_Perda_B
","Modelo
","MAPE
","Unnamed: 12
","Espacial
","Ambiental
","Características Animal
"
Estudo_Q,Ilha Verdejante,Confinamento,Crescimento,Novilha,462.0,7.27,0.01573593074,0.0157359307359307,Modelo_2,0.0593531074271289,NaN,NaN,NaN,NaN
Estudo_Q,Ilha Verdejante,Confinamento,Crescimento,Novilha,462.0,7.27,0.01573593074,0.0157359307359307,Modelo_3,0.128840356803307,NaN,NaN,NaN,NaN
Estudo_Q,Ilha Verdejante,Confinamento,Crescimento,Novilha,462.0,7.27,0.01573593074,0.0157359307359307,Modelo_4,0.238476739318777,NaN,NaN,NaN,NaN
Estudo_Q,Ilha Verdejante,Confinamento,Crescimento,Novilha,462.0,7.27,0.01573593074,0.0157359307359307,Modelo_5,0.144309837400748,NaN,NaN,NaN,NaN
Estudo_Q,Ilha Verdejante,Confinamento,Crescimento,Novilha,462.0,8.41,0.0182034632,0.0182034632034632,Modelo_1,0.265563875582014,NaN,NaN,NaN,NaN
Estudo_Q,Ilha Verdejante,Confinamento,Crescimento,Novilha,462.0,8.41,0.0182034632,0.0182034632034632,Modelo_2,0.344571053542729,NaN,NaN,NaN,NaN
Estudo_Q,Ilha Verdejante,Confinamento,Crescimento,Novilha,462.0,8.41,0.0182034632,0.0182034632034632,Modelo_3,0.192765866187103,NaN,NaN,NaN,NaN
Estudo_Q,Ilha Verdejante,Confinamento,Crescimento,Novilha,462.0,8.41,0.0182034632,0.0182034632034632,Modelo_4,0.0873292715067516,NaN,NaN,NaN,NaN
Estudo_Q,Ilha Verdejante,Confinamento,Crescimento,Novilha,462.0,8.41,0.0182034632,0.0182034632034632,Modelo_5,0.194358453611977,NaN,NaN,NaN,NaN
Estudo_B,Reino Litoral,Confinamento,Crescimento,Boi,541.0,11.43,0.02112754159,0.0211275415896488,Modelo_1,0.0250574712643679,NaN,NaN,NaN,NaN
Estudo_B,Reino Litoral,Confinamento,Crescimento,Boi,541.0,11.43,0.02112754159,0.0211275415896488,Modelo_2,0.105504597701149,NaN,NaN,NaN,NaN
Estudo_B,Reino Litoral,Confinamento,Crescimento,Boi,541.0,11.43,0.02112754159,0.0211275415896488,Modelo_3,0.0374870114942529,NaN,NaN,NaN,NaN
Estudo_B,Reino Litoral,Confinamento,Crescimento,Boi,541.0,11.43,0.02112754159,0.0211275415896488,Modelo_4,0.106620689655172,NaN,NaN,NaN,NaN
Estudo_B,Reino Litoral,Confinamento,Crescimento,Boi,541.0,11.43,0.02112754159,0.0211275415896488,Modelo_5,0.0501504597701149,NaN,NaN,NaN,NaN
Estudo_BP,Grandvale,Confinamento,Crescimento,Boi,434.0,10.2,0.02350230415,0.0235023041474654,Modelo_1,0.385885885885886,NaN,NaN,NaN,NaN
