mae,rmse,r2,mape,modelo,protocolo,fold,n,top1,top1_sempre_campeao
0.10114734973765437,0.11254615525384462,-0.32467840556338246,2.3006412552548756,baseline_mediana_modelo,LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09251026411513429,0.10355123273738816,-0.12139774002241799,2.107865601122813,ols_(fracao),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.09657181557423405,0.1069434163849097,-0.19607176253313985,2.3010359077908453,ols_(sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.09335479117486176,0.10463915748153411,-0.14508466385845487,2.128180235736514,ols_(modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09181800993033437,0.10200616475584588,-0.088183078346872,2.099085452653555,ols_(pais_status),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.1327884377993459,0.15702080524334786,-1.5784785931532102,3.473946778972236,ols_(pais_sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.09260857077997715,0.10392013630186724,-0.12940198098038658,2.09679545679726,ols_(pais_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09842059225702325,0.10930673725610783,-0.24951936700493849,2.3795753602852074,ols_(status_sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.09539969339839421,0.10675785762912365,-0.19192472760799562,2.2119815271752845,ols_(status_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09738551288850557,0.10840734388660117,-0.22904147113692863,2.273250403646298,ols_(sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.13036720291542614,0.15388397310737106,-1.476486194607062,3.4120471965806036,ols_(pais_status_sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.091967943432075,0.1033376404499352,-0.11677635842269418,2.0698527448328137,ols_(pais_status_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.13626281798619388,0.15884105893411724,-1.6386067988712512,3.4499771582827434,ols_(pais_sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.10003577177301869,0.11081478196660115,-0.2842350607942046,2.3550376748590356,ols_(status_sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.13347801694799494,0.15569538550744544,-1.5351322035564503,3.3872797575988938,ols_(pais_status_sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.0940513278728677,0.1041384204026594,-0.13415157856780646,2.1916905880805575,ols_(peso)_(sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.09147520088567429,0.10294479561006294,-0.10830150034308716,2.0479061195388577,ols_(peso)_(modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09051735024739153,0.10093107328213265,-0.06536619653972586,2.0448489211549745,ols_(peso)_(pais_status),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.13152643866506034,0.15538008747786378,-1.5248748303656985,3.4425042551384655,ols_(peso)_(pais_sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.09254907902514636,0.10387341396489001,-0.1283866544124781,2.093848976642972,ols_(peso)_(pais_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09865212291667307,0.10958311092354772,-0.2558459820737726,2.3870493687160765,ols_(peso)_(status_sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.10041330411908042,0.11231947251109618,-0.31934762673536166,2.472023380457372,spl_(peso)_(status_sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.09493045836941118,0.10630281370538755,-0.18178547973240677,2.1931864772117753,ols_(peso)_(status_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09420341074322135,0.10552986990452373,-0.16466207916164977,2.1616879068333046,ols_(peso)_(sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.09628694808365591,0.10725722495094368,-0.2031014285338033,2.238812659784268,spl_(peso)_(sexo_modelo),LOSO_paises_case,Estudo_CL,15,0.3333333333333333,0.3333333333333333
0.12574626829329813,0.14777679916071987,-1.2838187850729348,3.2886649789302265,ols_(peso)_(pais_status_sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
0.12024265893104792,0.13953599336715075,-1.036205596593041,3.1140791444879468,spl_(peso)_(pais_status_sexo),LOSO_paises_case,Estudo_CL,15,0.0,0.3333333333333333
