"ID_Observacao","Estudo","Pais_Estudo","Status_Metabolico","Sexo_Animal","Peso_Corporal_kg","Consumo_MS_kg","Fracao_Perda_A","Modelo","MAPE","MAPE_log","MAPE_boxcox"
25,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.67,0.01829113924,"Modelo_4",0.241280160020003,-1.42179653094989,-1.1574518871848
25,"Estudo_W","Ilha Verdejante","Crescimento","Novilha",474,8.67,0.01829113924,"Modelo_5",0.308930157936409,-1.1746400537279,-0.989985070451341
27,"Estudo_Q","Ilha Verdejante","Crescimento","Novilha",462,7.27,0.01573593074,"Modelo_1",0.0419201702895376,-3.17198817672718,-2.04625299281891
27,"Estudo_Q","Ilha Verdejante","Crescimento","Novilha",462,7.27,0.01573593074,"Modelo_2",0.0593531074271289,-2.82425080163694,-1.90472959025911
27,"Estudo_Q","Ilha Verdejante","Crescimento","Novilha",462,7.27,0.01573593074,"Modelo_3",0.128840356803307,-2.04918118517101,-1.53075427647739
27,"Estudo_Q","Ilha Verdejante","Crescimento","Novilha",462,7.27,0.01573593074,"Modelo_4",0.238476739318777,-1.43348350247174,-1.1650673684455
27,"Estudo_Q","Ilha Verdejante","Crescimento","Novilha",462,7.27,0.01573593074,"Modelo_5",0.144309837400748,-1.93579264227065,-1.46838190000714
29,"Estudo_Q","Ilha Verdejante","Crescimento","Novilha",462,8.41,0.0182034632,"Modelo_1",0.265563875582014,-1.32589988124003,-1.09394482789777
29,"Estudo_Q","Ilha Verdejante","Crescimento","Novilha",462,8.41,0.0182034632,"Modelo_2",0.344571053542729,-1.06545495858271,-0.911956502486165
29,"Estudo_Q","Ilha Verdejante","Crescimento","Novilha",462,8.41,0.0182034632,"Modelo_3",0.192765866187103,-1.6462789550776,-1.29916080177779
29,"Estudo_Q","Ilha Verdejante","Crescimento","Novilha",462,8.41,0.0182034632,"Modelo_4",0.0873292715067516,-2.43806957443543,-1.7292508494408
29,"Estudo_Q","Ilha Verdejante","Crescimento","Novilha",462,8.41,0.0182034632,"Modelo_5",0.194358453611977,-1.63805112578409,-1.29413355252501
30,"Estudo_B","Reino Litoral","Crescimento","Boi",541,11.43,0.02112754159,"Modelo_1",0.0250574712643679,-3.68658324185358,-2.23037293969938
30,"Estudo_B","Reino Litoral","Crescimento","Boi",541,11.43,0.02112754159,"Modelo_2",0.105504597701149,-2.24900074690992,-1.63563641224784
30,"Estudo_B","Reino Litoral","Crescimento","Boi",541,11.43,0.02112754159,"Modelo_3",0.0374870114942529,-3.28376076615556,-2.08869552016023
30,"Estudo_B","Reino Litoral","Crescimento","Boi",541,11.43,0.02112754159,"Modelo_4",0.106620689655172,-2.2384776992613,-1.63026845994524
30,"Estudo_B","Reino Litoral","Crescimento","Boi",541,11.43,0.02112754159,"Modelo_5",0.0501504597701149,-2.99272759671762,-1.97514116793383
33,"Estudo_BP","Grandvale","Crescimento","Boi",434,10.2,0.02350230415,"Modelo_1",0.385885885885886,-0.952213585645169,-0.828283247623255
33,"Estudo_BP","Grandvale","Crescimento","Boi",434,10.2,0.02350230415,"Modelo_2",0.459804804804805,-0.776953216936439,-0.693048403649409
33,"Estudo_BP","Grandvale","Crescimento","Boi",434,10.2,0.02350230415,"Modelo_3",0.387466216216216,-0.94812661794763,-0.825209946301474
33,"Estudo_BP","Grandvale","Crescimento","Boi",434,10.2,0.02350230415,"Modelo_4",0.479279279279279,-0.735471804964736,-0.659986286764115
33,"Estudo_BP","Grandvale","Crescimento","Boi",434,10.2,0.02350230415,"Modelo_5",0.410325075075075,-0.890805567399249,-0.781706488521697
34,"Estudo_BP","Grandvale","Crescimento","Boi",439,10.1,0.02300683371,"Modelo_1",0.404342723004695,-0.905492436375602,-0.792924379762674
34,"Estudo_BP","Grandvale","Crescimento","Boi",439,10.1,0.02300683371,"Modelo_2",0.475667546948357,-0.743036099547883,-0.666046003915781
34,"Estudo_BP","Grandvale","Crescimento","Boi",439,10.1,0.02300683371,"Modelo_3",0.406327024647887,-0.900596964176574,-0.789190688284441
34,"Estudo_BP","Grandvale","Crescimento","Boi",439,10.1,0.02300683371,"Modelo_4",0.49618544600939,-0.700805539050625,-0.632038725138963
34,"Estudo_BP","Grandvale","Crescimento","Boi",439,10.1,0.02300683371,"Modelo_5",0.426139231220657,-0.852989152260008,-0.75259364525584
35,"Estudo_CU","Costa Austral","Crescimento","Boi",474,8.9,0.01877637131,"Modelo_1",0.149913842619184,-1.8976945324455,-1.4469442861336
35,"Estudo_CU","Costa Austral","Crescimento","Boi",474,8.9,0.01877637131,"Modelo_2",0.244652498564044,-1.40791644848884,-1.14837257288965
35,"Estudo_CU","Costa Austral","Crescimento","Boi",474,8.9,0.01877637131,"Modelo_3",0.141614014933946,-1.95465012709805,-1.4789026008619
35,"Estudo_CU","Costa Austral","Crescimento","Boi",474,8.9,0.01877637131,"Modelo_4",0.0735209649626652,-2.61018467584857,-1.80997488713518
35,"Estudo_CU","Costa Austral","Crescimento","Boi",474,8.9,0.01877637131,"Modelo_5",0.140003446295233,-1.96608824028129,-1.48525505220263
36,"Estudo_CU","Costa Austral","Crescimento","Boi",486,10.4,0.02139917695,"Modelo_1",0.0746934225195095,-2.59436324266783,-1.8027271862295
36,"Estudo_CU","Costa Austral","Crescimento","Boi",486,10.4,0.02139917695,"Modelo_2",0.187201783723523,-1.67556818654642,-1.31695630980686
36,"Estudo_CU","Costa Austral","Crescimento","Boi",486,10.4,0.02139917695,"Modelo_3",0.0566053511705686,-2.87165175459235,-1.92490098250747
36,"Estudo_CU","Costa Austral","Crescimento","Boi",486,10.4,0.02139917695,"Modelo_4",0.217391304347826,-1.52605630349505,-1.22445562694183
36,"Estudo_CU","Costa Austral","Crescimento","Boi",486,10.4,0.02139917695,"Modelo_5",0.0642664437012264,-2.74471765485908,-1.87023328144269
37,"Estudo_CU","Costa Austral","Crescimento","Boi",497,10.6,0.02132796781,"Modelo_1",0.133299022130726,-2.0151603876779,-1.51226251822485
37,"Estudo_CU","Costa Austral","Crescimento","Boi",497,10.6,0.02132796781,"Modelo_2",0.239711785898096,-1.42831796938013,-1.16170468873553
37,"Estudo_CU","Costa Austral","Crescimento","Boi",497,10.6,0.02132796781,"Modelo_3",0.115362840967576,-2.15967297877599,-1.58952588610292
37,"Estudo_CU","Costa Austral","Crescimento","Boi",497,10.6,0.02132796781,"Modelo_4",0.14565105506948,-1.9265415517342,-1.4631988606523
37,"Estudo_CU","Costa Austral","Crescimento","Boi",497,10.6,0.02132796781,"Modelo_5",0.118753474009264,-2.13070558168045,-1.57430578002477
38,"Estudo_CU","Costa Austral","Crescimento","Boi",497,10.5,0.02112676056,"Modelo_1",0.177165354330709,-1.73067177724821,-1.35001519175543
38,"Estudo_CU","Costa Austral","Crescimento","Boi",497,10.5,0.02112676056,"Modelo_2",0.277706692913386,-1.28118978372328,-1.06370549720757
